31 1 7 1982 0 4 -4 -4 -4 -4 1 12 12 12 12 4 6 0 -4 -4 -4 -4 -4 -4 3 2 -4 -4 -4 -4 -4 3 -4 0 -4 -4 2 0 15 14 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 7 1 1 1 0 0 0 0 0 1 -4 1 0 0 0 0 0 1 0 0 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 59500 326 2 2 2 2 3 4 21 1
32 2 7 1981 0 1 -4 -4 -4 -4 1 16 16 16 16 4 -4 -4 -4 -4 -4 -4 -4 -4 4 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 1 16 15 1 30 5 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 6 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 5 6 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 2 2 2 2 3 4 21 1
33 2 12 1980 0 1 1 -3 259500 -3 1 16 14 16 14 4 -4 -4 -4 -4 -4 -4 -4 -4 2 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 1 16 15 0 -4 -4 -4 -4 0 -4 -4 1 -4 -2 1 -4 -4 7 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 5 5 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 145250 659 2 2 1 2 5 6 1 1
34 2 12 1984 0 1 2 9800 17500 60 1 9 16 9 16 4 9 2 -4 -4 1 4 0 0 3 3 -4 -4 200 400 0 3 3 -4 1 -4 0 2 13 12 1 0 -4 -4 -4 0 -4 -4 1 -4 -2 1 -4 -4 6 6 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 -4 -4 2 2 2 2 3 4 21 1
35 1 1 1983 0 4 -4 -4 -4 -4 1 -3 -3 -3 -3 4 9 6 -4 -4 -4 -4 -4 -4 4 3 -4 -4 -4 -4 -4 -4 -4 2 -4 -4 0 0 13 12 0 -4 -4 -4 -4 0 -4 -4 1 -4 2000 -4 -4 -4 6 6 1 1 0 1 0 0 0 0 -4 1 0 1 0 0 0 0 0 0 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 1 0 1 0 0 1 1 -1 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 11000 77 2 2 1 2 5 6 1 1
36 2 8 1980 0 1 1 40500 66000 255 1 16 15 16 15 4 -4 -4 -4 -4 -4 -4 -4 -4 1 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 7 3 12 12 1 14 1 -4 -4 0 -4 -4 1 -4 -2 2 -4 -4 7 1 1 1 0 0 0 0 1 0 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 7500 61 2 2 2 2 3 4 21 1
37 2 11 1980 0 1 1 47500 3000 299 1 11 -3 11 -3 4 -4 -4 -4 -4 -4 -4 -4 -4 4 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 16 15 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 7 6 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -2 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 75000 411 2 2 2 2 3 4 21 1
38 2 9 1981 0 1 1 47500 3000 299 1 11 -3 11 -3 4 -4 -4 -4 -4 -4 -4 -4 -4 4 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 16 15 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 6 6 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -2 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 45000 246 2 2 2 2 3 4 21 1
39 1 2 1980 1 1 3 -3 -3 -3 1 -3 -3 -3 -3 2 -4 -4 -4 -4 -4 -4 -4 -4 2 1 -4 -4 500 -4 -4 -4 -4 -4 -4 -4 2 3 16 15 1 10 5 -4 -4 0 -4 -4 1 -4 -2 1 -4 -4 6 6 1 1 0 0 1 0 0 0 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -1 -1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 100000 547 2 2 2 2 3 4 21 1
40 2 5 1984 0 4 -4 -4 -4 -4 1 12 12 12 12 4 4 1 -4 -4 2 -4 0 -4 2 3 -4 -4 -4 -4 -4 2 2 -4 -4 -4 0 0 12 11 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 8 6 1 1 0 0 0 0 0 1 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 1 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 2 2 9 6 5 2
41 2 1 1983 0 4 -4 -4 -4 -4 1 12 12 12 12 4 11 6 -4 -4 1 -4 0 -4 2 4 -4 -4 -4 -4 -4 2 1 -4 -4 -4 1 0 13 12 1 1 3 -4 -4 0 -4 -4 1 -4 -2 1 -4 -4 9 6 1 1 0 0 0 0 0 1 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 1 0 1 1 0 1 1 3 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 27500 127 2 2 2 2 9 6 5 2
42 1 8 1983 0 4 -4 -4 -4 -4 1 -3 -3 -3 -3 4 7 6 -4 -4 2 -4 0 -4 2 2 -4 -4 -4 -4 -4 2 -4 0 -4 -4 1 0 13 12 0 -4 -4 -4 -4 0 -4 -4 1 -4 -2 2 -4 -4 5 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 1 0 1 0 0 1 1 -2 -2 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 22500 101 2 2 2 2 9 6 5 2
43 2 10 1981 0 2 1 -3 7500 -3 1 -4 -3 -4 -3 1 -4 -4 -4 -4 -4 -4 -4 -4 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 13 13 1 30 10 -4 -4 0 -4 -4 1 -4 -2 3 -4 -4 8 6 6 1 0 0 1 0 0 0 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 0 -3 -3 2 2 2 2 3 4 21 1
44 1 12 1981 1 2 3 0 41250 0 1 -3 -3 -3 -3 2 -4 -4 -4 -4 -4 -4 -4 -4 2 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 2 0 13 12 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 3 6 1 1 0 0 1 0 0 0 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 1 0 0 1 0 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -2 -2 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 0 20000 89 2 2 2 2 9 6 5 2
45 2 2 1984 0 2 1 -3 500 -3 1 -4 8 -4 8 1 11 -4 -4 -4 6 4 0 0 3 -4 -4 -4 0 1150 600 0 3 -4 1 -4 0 0 12 11 0 -4 -4 -4 -4 0 -4 -4 1 -4 -2 1 -4 -4 7 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 2500 20 0 0 2 2 9 5 3 2
46 1 2 1984 0 2 1 -3 500 -3 1 -4 8 -4 8 1 1 -4 -4 -4 2 4 0 0 -4 -4 -4 -4 0 1475 625 0 -4 2 -4 4 0 0 11 10 1 7 6 -4 -4 1 10 0 0 -4 -4 -4 -4 -4 8 1 2 1 0 1 0 0 0 0 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 2 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 -3 -3 0 0 2 2 6 7 15 1
